State,State_Code,County,County_Code,Year,Total_Deaths,Total_Population,Total_Age_Adjusted_Rate,Female_Deaths_(Calculated),Male_Deaths_(Calculated),White_Age_Adjusted_Rate,Black_Age_Adjusted_Rate,API_Age_Adjusted_Rate,Native_American_Age_Adjusted_Rate,Heroin_Deaths,Heroin_Age_Adjusted_Rate,Other_Opioids_Deaths,Other_Opioids_Age_Adjusted_Rate,Methadone_Deaths,Methadone_Age_Adjusted_Rate,Other_Synthetic_Narcotics_Deaths,Other_Synthetic_Narcotics_Age_Adjusted_Rate,Other_Unspecified_Narcotics_Deaths,Other_Unspecified_Narcotics_Age_Adjusted_Rate
New Hampshire,33,Grafton County,33009,2009,Suppressed,88926,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2010,Suppressed,89118,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2011,Suppressed,88923,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2012,Suppressed,89181,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2013,Suppressed,89629,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2014,13,89658,Unreliable,2,11,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2015,13,89320,Unreliable,Suppressed,Suppressed,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2016,12,88888,Unreliable,2,10,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Grafton County,33009,2017,18,89386,Unreliable,5,13,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11,Unreliable,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,1999,15,376407,Unreliable,5,10,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2000,Suppressed,380841,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2001,23,387414,5.876,7,16,6.168,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,12,Unreliable
New Hampshire,33,Hillsborough County,33011,2002,25,389665,6.195,11,14,6.007,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,12,Unreliable
New Hampshire,33,Hillsborough County,33011,2003,20,391461,5.016,9,11,5.372,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11,Unreliable
New Hampshire,33,Hillsborough County,33011,2004,22,394428,5.484,9,13,5.836,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2005,30,396381,7.247,10,20,7.704,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,12,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2006,31,398169,7.690,15,16,8.249,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11,Unreliable,Suppressed,Suppressed,10,Unreliable
New Hampshire,33,Hillsborough County,33011,2007,39,398843,9.613,15,24,10.333,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18,Unreliable,11,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2008,29,399556,7.163,15,14,7.403,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2009,38,400148,9.309,10,28,9.962,Suppressed,Suppressed,Suppressed,10,Unreliable,15,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2010,46,400721,10.969,15,31,11.806,Suppressed,Suppressed,Suppressed,10,Unreliable,19,Unreliable,Suppressed,Suppressed,10,Unreliable,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2011,56,401696,13.446,21,35,14.525,Suppressed,Suppressed,Suppressed,20,5.287,18,Unreliable,Suppressed,Suppressed,10,Unreliable,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2012,45,402922,11.667,18,27,12.527,Suppressed,Suppressed,Suppressed,21,5.802,13,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2013,48,403985,11.058,13,35,11.639,Suppressed,Suppressed,Suppressed,22,5.356,19,Unreliable,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2014,97,405184,23.121,31,66,24.450,Suppressed,Suppressed,Suppressed,36,9.148,29,6.386,Suppressed,Suppressed,46,11.457,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2015,149,406678,38.052,37,112,41.571,Suppressed,Suppressed,Suppressed,38,10.006,16,Unreliable,Suppressed,Suppressed,119,30.554,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2016,180,407761,47.061,52,128,50.627,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,19,Unreliable,11,Unreliable,159,41.649,Suppressed,Suppressed
New Hampshire,33,Hillsborough County,33011,2017,162,409697,41.488,47,115,44.967,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16,Unreliable,Suppressed,Suppressed,147,37.863,Suppressed,Suppressed
New Hampshire,33,Merrimack County,33013,1999,Suppressed,134455,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Merrimack County,33013,2000,Suppressed,136225,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
New Hampshire,33,Merrimack County,33013,2001,Suppressed,138309,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
